Character,Move,onBlock,plnCmd,airmove,followUp,projectile,moveType,health,stun,vgauge1,vgauge2,fDash,bDash,fWalk,bWalk,throwHurt,throwRange,Damage,Stun
Abigail,MP Abigail Punch,-19,qcf+MP,False,False,False,special,1100,1050,900,900,25,25,0.032,0.025,0.4,0.9,110 (130),120 (150)
Abigail,HP Abigail Punch,-16,qcf+HP,False,False,False,special,1100,1050,900,900,25,25,0.032,0.025,0.4,0.9,120 (140),120 (150)
Abigail,EX Abigail Punch,-23,qcf+PP,False,False,False,special,1100,1050,900,900,25,25,0.032,0.025,0.4,0.9,140,150
Abigail,LP Giant Flip,0,hcb+LP,False,False,False,special,1100,1050,900,900,25,25,0.032,0.025,0.4,0.9,50*20 (70),70*30 (100)
Abigail,MP Giant Flip,1,hcb+MP,False,False,False,special,1100,1050,900,900,25,25,0.032,0.025,0.4,0.9,50*30 (80),70*30 (100)
Abigail,HP Giant Flip,2,hcb+HP,False,False,False,special,1100,1050,900,900,25,25,0.032,0.025,0.4,0.9,50*50 (100),90*60 (150)
Abigail,EX Giant Flip,-2,hcb+PP,False,False,False,special,1100,1050,900,900,25,25,0.032,0.025,0.4,0.9,20*20*40 (80),30*50*70 (150)
Abigail,EX Giant Flip Mash,-8,hcb+PP (mash),False,True,False,special,1100,1050,900,900,25,25,0.032,0.025,0.4,0.9,50*20 (70),70*30 (100)
Abigail,Nitro Blitz  > Dynamite Punch,-9,KK > P,False,True,False,special,1100,1050,900,900,25,25,0.032,0.025,0.4,0.9,100,200
Abigail,Nitro Blitz  > Avalanche Press,-12,KK > K,False,True,False,special,1100,1050,900,900,25,25,0.032,0.025,0.4,0.9,80*70 (150),150*50 (200)
Abigail,Nitro Blitz  > Nitro Hungabee Parry,-6,KK > Parry Attack,False,True,False,vskill,1100,1050,900,900,25,25,0.032,0.025,0.4,0.9,30,70
Abigail,EX Nitro Charge,-9,KKK,False,False,False,special,1100,1050,900,900,25,25,0.032,0.025,0.4,0.9,130,215
Abigail,EX Nitro Charge > EX Dynamite Punch,-9,KKK > P,False,True,False,special,1100,1050,900,900,25,25,0.032,0.025,0.4,0.9,100,150
Abigail,EX Nitro Charge > EX Avalanche Press,-12,KKK > K,False,True,False,special,1100,1050,900,900,25,25,0.032,0.025,0.4,0.9,90*80 (170),150*50 (200)
Abigail,Abigail Special,-95,"qcf,qcf+P",False,False,False,super,1100,1050,900,900,25,25,0.032,0.025,0.4,0.9,350,0
Akuma,Stand LP,2,LP,False,False,False,normal,900,900,900,600,16,21,0.052,0.036,0.25,0.8,30,70
Akuma,Stand MP,1,MP,False,False,False,normal,900,900,900,600,16,21,0.052,0.036,0.25,0.8,60,100
Akuma,Stand HP,-5,HP,False,False,False,normal,900,900,900,600,16,21,0.052,0.036,0.25,0.8,80,150
Akuma,Stand LK,1,LK,False,False,False,normal,900,900,900,600,16,21,0.052,0.036,0.25,0.8,30,70
Akuma,Stand MK,-4,MK,False,False,False,normal,900,900,900,600,16,21,0.052,0.036,0.25,0.8,60,100
Akuma,Stand HK,-2,HK,False,False,False,normal,900,900,900,600,16,21,0.052,0.036,0.25,0.8,80,120
Akuma,Crouch LP,2,d+LP,False,False,False,normal,900,900,900,600,16,21,0.052,0.036,0.25,0.8,30,70
Akuma,Crouch MP,3,d+MP,False,False,False,normal,900,900,900,600,16,21,0.052,0.036,0.25,0.8,60,100
Akuma,Crouch HP,3,d+HP,False,False,False,normal,900,900,900,600,16,21,0.052,0.036,0.25,0.8,80,150
Akuma,Crouch LK,1,d+LK,False,False,False,normal,900,900,900,600,16,21,0.052,0.036,0.25,0.8,20,70
Akuma,Crouch MK,-2,d+MK,False,False,False,normal,900,900,900,600,16,21,0.052,0.036,0.25,0.8,50,100
Akuma,Crouch HK,-15,d+HK,False,False,False,normal,900,900,900,600,16,21,0.052,0.036,0.25,0.8,90,150
Akuma,Tenmakujinkyaku,-2(6),Forward Jump > d+MK ,True,False,False,normal,900,900,900,600,16,21,0.052,0.036,0.25,0.8,60,100
Akuma,Zugaihasatsu,-7,f+MP,False,False,False,normal,900,900,900,600,16,21,0.052,0.036,0.25,0.8,20*50 (70),60*40 (100)
Akuma,Sekiseiken,-2,f+HP,False,False,False,normal,900,900,900,600,16,21,0.052,0.036,0.25,0.8,60,100
Akuma,Tenha,-10,b+HP,False,False,False,normal,900,900,900,600,16,21,0.052,0.036,0.25,0.8,90,200
Akuma,Kikokurenzan,0,HK > HK,False,True,False,normal,900,900,900,600,16,21,0.052,0.036,0.25,0.8,80*45 (125),120*63 (183)
Akuma,Kongoken,-12,HP > HP,False,True,False,normal,900,900,900,600,16,21,0.052,0.036,0.25,0.8,80*54 (134),150*72 (222)
Akuma,Goshoha,KD,LP+LK,False,False,False,throw,900,900,900,600,16,21,0.052,0.036,0.25,0.8,130,170
Akuma,Shuretsuzan,KD,b+LP+LK,False,False,False,throw,900,900,900,600,16,21,0.052,0.036,0.25,0.8,120,170
Akuma,Rakan Gosho,-10,MP+MK (VS1) > P,False,True,False,vskill,900,900,900,600,16,21,0.052,0.036,0.25,0.8,70,100
Akuma,Rakan Gokyaku,-13,MP+MK (VS1) > K,False,True,False,vskill,900,900,900,600,16,21,0.052,0.036,0.25,0.8,60,100
Akuma,Kiai,-13,MP+MK (VS2),False,True,False,vskill,900,900,900,600,16,21,0.052,0.036,0.25,0.8,50 (80),50 (80)
Akuma,Sekia Goshoha (V-Skill 2),-6,MP+MK (VS2) > hcb+P,False,True,True,vskill,900,900,900,600,16,21,0.052,0.036,0.25,0.8,70,100
Akuma,Sekia Goshoha EX (V-Skill 2),8,MP+MK (VS2) > hcb+PP,False,True,True,vskill,900,900,900,600,16,21,0.052,0.036,0.25,0.8,25x4 (100),40x3*30 (150)
Akuma,Sekia Goshoha Just Frame (V-Skill 2),-4,MP+MK (VS2) > hcb+P,False,True,True,vskill,900,900,900,600,16,21,0.052,0.036,0.25,0.8,40x2 (80),50x2 (100)
Akuma,Sekia Goshoha EX Just Frame (V-Skill 2),11,MP+MK (VS2) > hcb+PP,False,True,True,vskill,900,900,900,600,16,21,0.052,0.036,0.25,0.8,20x4*30 (110),30x4*30 (150)
Akuma,Gosenkyaku,-2,f+KKK,False,False,False,alpha,900,900,900,600,16,21,0.052,0.036,0.25,0.8,60,0
Akuma,Rasen Shuto Uchi,-2,MK+HP,False,True,False,vbreak,900,900,900,600,16,21,0.052,0.036,0.25,0.8,60,0
Akuma,Taunt Stomp,22,PPP+KKK,False,False,False,taunt,900,900,900,600,16,21,0.052,0.036,0.25,0.8,70,100
Akuma,Neutral Stomp,?,Neutral,False,False,False,special,900,900,900,600,16,21,0.052,0.036,0.25,0.8,90,150
Akuma,LP Gohadoken,-6,qcf+LP,False,False,True,special,900,900,900,600,16,21,0.052,0.036,0.25,0.8,60,120(100)
Akuma,MP Gohadoken,-6,qcf+MP,False,False,True,special,900,900,900,600,16,21,0.052,0.036,0.25,0.8,60,120(100)
Akuma,HP Gohadoken,-6,qcf+HP,False,False,True,special,900,900,900,600,16,21,0.052,0.036,0.25,0.8,60,120(100)
Akuma,EX Gohadoken,1,qcf+PP,False,False,True,special,900,900,900,600,16,21,0.052,0.036,0.25,0.8,50*50 (100),170(150)
Akuma,LP Sekia Goshoha,-6,hcb+LP,False,False,True,special,900,900,900,600,16,21,0.052,0.036,0.25,0.8,70,120
Akuma,MP Sekia Goshoha,-4,hcb+MP,False,False,True,special,900,900,900,600,16,21,0.052,0.036,0.25,0.8,40x2 (80),60x2 (120)
Akuma,HP Sekia Goshoha,-4,hcb+HP,False,False,True,special,900,900,900,600,16,21,0.052,0.036,0.25,0.8,30*30*40 (100),50x3 (150)
Akuma,EX Sekia Goshoha,8,hcb+PP,False,False,True,special,900,900,900,600,16,21,0.052,0.036,0.25,0.8,4x25 (100),40*40*40*30 (150)
Akuma,LP Goshoryuken,-28,"f,d,df+LP",False,False,False,special,900,900,900,600,16,21,0.052,0.036,0.25,0.8,100,150
Akuma,MP Goshoryuken,-30,"f,d,df+MP",False,False,False,special,900,900,900,600,16,21,0.052,0.036,0.25,0.8,70*50 (120),100*50 (150)
Akuma,HP Goshoryuken,-33,"f,d,df+HP",False,False,False,special,900,900,900,600,16,21,0.052,0.036,0.25,0.8,80*30x2 (140),100*30*20 (150)
Akuma,EX Goshoryuken,-44,"f,d,df+PP",False,False,False,special,900,900,900,600,16,21,0.052,0.036,0.25,0.8,30*20x2*30x3 (160),0x3*50*50*100 (200)
Akuma,LK Tatsumaki Zankukyaku,-11,qcb+LK,False,False,False,special,900,900,900,600,16,21,0.052,0.036,0.25,0.8,50,80
Akuma,MK Tatsumaki Zankukyaku,-8,qcb+MK,False,False,False,special,900,900,900,600,16,21,0.052,0.036,0.25,0.8,30*20x2 (70),70*30*20 (120)
Akuma,HK Tatsumaki Zankukyaku,-39,qcb+HK,False,False,False,special,900,900,900,600,16,21,0.052,0.036,0.25,0.8,30*15x2*40 (100),50x4 (200)
Akuma,EX Tatsumaki Zankukyaku,-19,qcb+KK,False,False,False,special,900,900,900,600,16,21,0.052,0.036,0.25,0.8,20x4*40 (120),30x5 (150)
Akuma,LK Air Tatsumaki Zankukyaku,-4(1),qcb+LK(air),True,False,False,special,900,900,900,600,16,21,0.052,0.036,0.25,0.8,70,100
Akuma,MK Air Tatsumaki Zankukyaku,-4(1),qcb+MK(air),True,False,False,special,900,900,900,600,16,21,0.052,0.036,0.25,0.8,70,100
Akuma,HK Air Tatsumaki Zankukyaku,-4(1),qcb+HK(air),True,False,False,special,900,900,900,600,16,21,0.052,0.036,0.25,0.8,70,100
Akuma,LK Hyakki Gozan,-2,hcf+LK > no input,False,False,False,special,900,900,900,600,16,21,0.052,0.036,0.25,0.8,100,150
Akuma,MK Hyakki Gozan,-2,hcf+MK > no input,False,False,False,special,900,900,900,600,16,21,0.052,0.036,0.25,0.8,100,150
Akuma,HK Hyakki Gozan,-2,hcf+HK > no input,False,False,False,special,900,900,900,600,16,21,0.052,0.036,0.25,0.8,100,150
Akuma,EX Hyakki Gozan,-2,hcf+KK > no input,False,False,False,special,900,900,900,600,16,21,0.052,0.036,0.25,0.8,120,150
Akuma,LK Hyakkishu > Hyakki Gosho,1(8),hcf+LK > P,True,True,False,special,900,900,900,600,16,21,0.052,0.036,0.25,0.8,100,150
Akuma,MK Hyakkishu > Hyakki Gosho,1(8),hcf+MK > P,True,True,False,special,900,900,900,600,16,21,0.052,0.036,0.25,0.8,100,150
Akuma,HK Hyakkishu > Hyakki Gosho,1(8),hcf+HK > P,True,True,False,special,900,900,900,600,16,21,0.052,0.036,0.25,0.8,100,150
Akuma,EX Hyakkishu > Hyakki Gosho,3(9),hcf+KK > P,True,True,False,special,900,900,900,600,16,21,0.052,0.036,0.25,0.8,120,200
Akuma,LK Hyakkishu > Hyakki Gojin,-2(5),hcf+LK > K,True,True,False,special,900,900,900,600,16,21,0.052,0.036,0.25,0.8,60,100
Akuma,MK Hyakkishu > Hyakki Gojin,-2(5),hcf+MK > K,True,True,False,special,900,900,900,600,16,21,0.052,0.036,0.25,0.8,60,100
Akuma,HK Hyakkishu > Hyakki Gojin,-4(5),hcf+HK > K,True,True,False,special,900,900,900,600,16,21,0.052,0.036,0.25,0.8,60,100
Akuma,EX Hyakkishu > Hyakki Gojin,-2(9),hcf+KK > K,True,True,False,special,900,900,900,600,16,21,0.052,0.036,0.25,0.8,70,100
Akuma,LK Hyakkishu > Hyakki Gosai,KD,hcf+LK > LPLK,True,True,False,special,900,900,900,600,16,21,0.052,0.036,0.25,0.8,150,200
Akuma,MK Hyakkishu > Hyakki Gosai,KD,hcf+MK > LPLK,True,True,False,special,900,900,900,600,16,21,0.052,0.036,0.25,0.8,150,200
Akuma,HK Hyakkishu > Hyakki Gosai,KD,hcf+HK > LPLK,True,True,False,special,900,900,900,600,16,21,0.052,0.036,0.25,0.8,150,200
Akuma,EX Hyakkishu > Hyakki Gosai,KD,hcf+KK> LPLK,True,True,False,special,900,900,900,600,16,21,0.052,0.036,0.25,0.8,180,250
Akuma,Sekia Kuretsuha,-30,"qcf,qcf+P",False,False,True,super,900,900,900,600,16,21,0.052,0.036,0.25,0.8,320,0
Alex,Stand LP,2,LP,False,False,False,normal,1050,1075,600,600,19,24,0.04,0.035,0.45,1,30,70
Alex,Stand MP,3,MP,False,False,False,normal,1050,1075,600,600,19,24,0.04,0.035,0.45,1,60,100
Alex,Stand HP,-3,HP,False,False,False,normal,1050,1075,600,600,19,24,0.04,0.035,0.45,1,90,150
Alex,Stand LK,0,LK,False,False,False,normal,1050,1075,600,600,19,24,0.04,0.035,0.45,1,40,70
Alex,Stand MK,-2,MK,False,False,False,normal,1050,1075,600,600,19,24,0.04,0.035,0.45,1,70,100
Alex,Stand HK,-4,HK,False,False,False,normal,1050,1075,600,600,19,24,0.04,0.035,0.45,1,100,150
Alex,Crouch LP,2,d+LP,False,False,False,normal,1050,1075,600,600,19,24,0.04,0.035,0.45,1,30,70
Alex,Crouch MP,-1,d+MP,False,False,False,normal,1050,1075,600,600,19,24,0.04,0.035,0.45,1,70,100
Alex,Crouch HP,-8,d+HP,False,False,False,normal,1050,1075,600,600,19,24,0.04,0.035,0.45,1,60*30 (90),75*75 (150)
Alex,Crouch LK,0,d+LK,False,False,False,normal,1050,1075,600,600,19,24,0.04,0.035,0.45,1,20,70
Alex,Crouch MK,-3,d+MK,False,False,False,normal,1050,1075,600,600,19,24,0.04,0.035,0.45,1,60,100
Alex,Crouch HK,-12,d+HK,False,False,False,normal,1050,1075,600,600,19,24,0.04,0.035,0.45,1,100,150
Alex,Chop,-8,f+MP,False,False,False,normal,1050,1075,600,600,19,24,0.04,0.035,0.45,1,60,100
Alex,Lariat,4,f+HP,False,False,False,normal,1050,1075,600,600,19,24,0.04,0.035,0.45,1,80,150
Alex,Flying Cross Chop,-29(-21),d+HP (air),True,False,False,normal,1050,1075,600,600,19,24,0.04,0.035,0.45,1,90,150
Alex,Face-Crush Chop,KD,LP+LK,False,False,False,throw,1050,1075,600,600,19,24,0.04,0.035,0.45,1,120,120
Alex,Leg Tomahawk,KD,b+LP+LK,False,False,False,throw,1050,1075,600,600,19,24,0.04,0.035,0.45,1,160,200
Alex,War Hammer,-2,MK+HP,False,True,False,vbreak,1050,1075,600,600,19,24,0.04,0.035,0.45,1,60,0
Alex,LP Flash Chop,-4,qcf+LP,False,False,False,special,1050,1075,600,600,19,24,0.04,0.035,0.45,1,70,150
Alex,MP Flash Chop,-4,qcf+MP,False,False,False,special,1050,1075,600,600,19,24,0.04,0.035,0.45,1,80,150
Alex,HP Flash Chop,-6,qcf+HP,False,False,False,special,1050,1075,600,600,19,24,0.04,0.035,0.45,1,90,150
Alex,EX Flash Chop,-2,qcf+PP,False,False,False,special,1050,1075,600,600,19,24,0.04,0.035,0.45,1,70*70 (140),100*100 (200)
Alex,LK Slash Elbow,-2,"b,f+LK",False,False,False,special,1050,1075,600,600,19,24,0.04,0.035,0.45,1,80,150
Alex,MK Slash Elbow,-6,"b,f+MK",False,False,False,special,1050,1075,600,600,19,24,0.04,0.035,0.45,1,90,150
Alex,HK Slash Elbow,-7,"b,f+HK",False,False,False,special,1050,1075,600,600,19,24,0.04,0.035,0.45,1,100,150
Alex,EX Slash Elbow,-17,"b,f+KK",False,False,False,special,1050,1075,600,600,19,24,0.04,0.035,0.45,1,75*75 (150),100*100 (200)
Alex,LK Air Knee Smash,KD,"f,d,df+LK",False,False,False,special,1050,1075,600,600,19,24,0.04,0.035,0.45,1,50*80 (130),200
Alex,MK Air Knee Smash,KD,"f,d,df+MK",False,False,False,special,1050,1075,600,600,19,24,0.04,0.035,0.45,1,50*80 (130),200
Alex,HK Air Knee Smash,KD,"f,d,df+HK",False,False,False,special,1050,1075,600,600,19,24,0.04,0.035,0.45,1,50*80 (130),200
Alex,EX Air Knee Smash,-40,"f,d,df+KK",False,False,False,special,1050,1075,600,600,19,24,0.04,0.035,0.45,1,50*90 (140),200
Alex,LP Power Bomb,KD,hcb+LP,False,False,False,command-grab,1050,1075,600,600,19,24,0.04,0.035,0.45,1,170,200
Alex,MP Power Bomb,KD,hcb+MP,False,False,False,command-grab,1050,1075,600,600,19,24,0.04,0.035,0.45,1,180,230
Alex,HP Power Bomb,KD,hcb+HP,False,False,False,command-grab,1050,1075,600,600,19,24,0.04,0.035,0.45,1,190,250
Alex,EX Power Bomb,KD,hcb+PP,False,False,False,command-grab,1050,1075,600,600,19,24,0.04,0.035,0.45,1,230,250
Alex,Power Drop,KD,hcb+P (opp. turned),False,True,False,command-grab,1050,1075,600,600,19,24,0.04,0.035,0.45,1,120,200
Alex,EX Power Drop,KD,hcb+PP (opp. turned),False,True,False,command-grab,1050,1075,600,600,19,24,0.04,0.035,0.45,1,80*100 (180),250
Alex,LK Air Stampede,-5,"d,u+LK",False,False,False,special,1050,1075,600,600,19,24,0.04,0.035,0.45,1,120,200
Alex,MK Air Stampede,-5,"d,u+MK",False,False,False,special,1050,1075,600,600,19,24,0.04,0.035,0.45,1,120,200
Alex,HK Air Stampede,-5,"d,u+HK",False,False,False,special,1050,1075,600,600,19,24,0.04,0.035,0.45,1,120,200
Alex,EX Air Stampede,2,"d,u+KK",False,False,False,special,1050,1075,600,600,19,24,0.04,0.035,0.45,1,140,200
Alex,Heavy Hammer,-25,"qcf,qcf+P",False,False,False,super,1050,1075,600,600,19,24,0.04,0.035,0.45,1,340,0
Balrog,Stand LP,3,LP,False,False,False,normal,1025,1050,900,600,17,24,0.048,0.03,0.35,0.85,30,70
Balrog,Stand MP,0,MP,False,False,False,normal,1025,1050,900,600,17,24,0.048,0.03,0.35,0.85,70,100
Balrog,Stand HP,-3,HP,False,False,False,normal,1025,1050,900,600,17,24,0.048,0.03,0.35,0.85,80,150
Balrog,Stand LK,1,LK,False,False,False,normal,1025,1050,900,600,17,24,0.048,0.03,0.35,0.85,30,70
Balrog,Stand MK,2,MK,False,False,False,normal,1025,1050,900,600,17,24,0.048,0.03,0.35,0.85,60,100
Balrog,Stand HK,3,HK,False,False,False,normal,1025,1050,900,600,17,24,0.048,0.03,0.35,0.85,80,150
Balrog,Crouch LP,3,d+LP,False,False,False,normal,1025,1050,900,600,17,24,0.048,0.03,0.35,0.85,30,70
Balrog,Crouch MP,2,d+MP,False,False,False,normal,1025,1050,900,600,17,24,0.048,0.03,0.35,0.85,60,100
Balrog,Crouch HP,-5,d+HP,False,False,False,normal,1025,1050,900,600,17,24,0.048,0.03,0.35,0.85,90 (80),150
Balrog,Crouch LK,1,d+LK,False,False,False,normal,1025,1050,900,600,17,24,0.048,0.03,0.35,0.85,20,70
Balrog,Crouch MK,-2,d+MK,False,False,False,normal,1025,1050,900,600,17,24,0.048,0.03,0.35,0.85,60,100
Balrog,Crouch HK,-14,d+HK,False,False,False,normal,1025,1050,900,600,17,24,0.048,0.03,0.35,0.85,100,150
Balrog,Hard Lead In,-8,MK > MP,False,True,False,normal,1025,1050,900,600,17,24,0.048,0.03,0.35,0.85,60*36 (96),100*72 (172)
Balrog,Hard KKB,-17,MK > MP > MP+MK (VS1),False,True,False,normal,1025,1050,900,600,17,24,0.048,0.03,0.35,0.85,60*36 (96),100*72 (172)
Balrog,OTB,-36,MK > MP > MP+MK (VS2),False,True,False,normal,1025,1050,900,600,17,24,0.048,0.03,0.35,0.85,60*36 (96),100*72 (172)
Balrog,Hard Smasher,-8,MK > MP > MP+MK (VS1) > P,False,True,False,normal,1025,1050,900,600,17,24,0.048,0.03,0.35,0.85,60*36*48 (144),100*72*96 (268)
Balrog,Hard Pressure,-8,MK > MP > MP+MK (VS1) > K,False,True,False,normal,1025,1050,900,600,17,24,0.048,0.03,0.35,0.85,60*36*48 (144),100*72*96 (268)
Balrog,Under Impact 1,-7,LK > MK,False,True,False,normal,1025,1050,900,600,17,24,0.048,0.03,0.35,0.85,30*36 (66),70*63 (133)
Balrog,Under Impact 2,-8,LK > MK > HK,False,True,False,normal,1025,1050,900,600,17,24,0.048,0.03,0.35,0.85,30*36*66 (122),70*63*80 (213)
Balrog,Stomping Combo,-7,d+MK > d+MK,False,True,False,normal,1025,1050,900,600,17,24,0.048,0.03,0.35,0.85,60*36 (96),100*72 (172)
Balrog,KKB > Buffalo Swing,-4,MP+MK (VS1) > P,False,True,False,special,1025,1050,900,600,17,24,0.048,0.03,0.35,0.85,50,100
Balrog,KKB > Buffalo Pressure,-7,MP+MK (VS1) > K,False,True,False,special,1025,1050,900,600,17,24,0.048,0.03,0.35,0.85,50,100
Balrog,Buffalo Headbutt,-2,f+PPP,False,False,False,alpha,1025,1050,900,600,17,24,0.048,0.03,0.35,0.85,60,0
Balrog,Buffalo Breaker,-2,MK+HP,False,True,False,vbreak,1025,1050,900,600,17,24,0.048,0.03,0.35,0.85,60,0
Balrog,LP Dash Straight,-4,"b,f+LP",False,False,False,special,1025,1050,900,600,17,24,0.048,0.03,0.35,0.85,90,150
Balrog,MP Dash Straight,-4,"b,f+MP",False,False,False,special,1025,1050,900,600,17,24,0.048,0.03,0.35,0.85,100,150
Balrog,HP Dash Straight,-4,"b,f+HP",False,False,False,special,1025,1050,900,600,17,24,0.048,0.03,0.35,0.85,110,150
Balrog,EX Dash Straight,1,"b,f+PP",False,False,False,special,1025,1050,900,600,17,24,0.048,0.03,0.35,0.85,80*70 (150),50*150 (200)
Balrog,LP Dash Straight (V-Skill 2),2,"b,f+LP (VS2)",False,False,False,special,1025,1050,900,600,17,24,0.048,0.03,0.35,0.85,30x3 (90),30x2*40 (100)
Balrog,MP Dash Straight (V-Skill 2),2,"b,f+MP (VS2)",False,False,False,special,1025,1050,900,600,17,24,0.048,0.03,0.35,0.85,30x2*40 (100),30x2*40 (100)
Balrog,HP Dash Straight (V-Skill 2),2,"b,f+HP (VS2)",False,False,False,special,1025,1050,900,600,17,24,0.048,0.03,0.35,0.85,30x2*50 (110),30x2*40 (100)
Balrog,EX Dash Straight (V-Skill 2),4,"b,f+PP (VS2)",False,False,False,special,1025,1050,900,600,17,24,0.048,0.03,0.35,0.85,20x2*40*20x2*40 (160),10x2*40*10x2*40 (120)
Balrog,LK Dash Grand Blow,-7,"b,f+LK",False,False,False,special,1025,1050,900,600,17,24,0.048,0.03,0.35,0.85,80,150
Balrog,MK Dash Grand Blow,-7,"b,f+MK",False,False,False,special,1025,1050,900,600,17,24,0.048,0.03,0.35,0.85,90,150
Balrog,HK Dash Grand Blow,-7,"b,f+HK",False,False,False,special,1025,1050,900,600,17,24,0.048,0.03,0.35,0.85,100,150
Balrog,EX Dash Grand Blow,-2,"b,f+KK",False,False,False,special,1025,1050,900,600,17,24,0.048,0.03,0.35,0.85,140,200
Balrog,LK Screw Smash,-10,"f,d,df+LK",False,False,False,special,1025,1050,900,600,17,24,0.048,0.03,0.35,0.85,100,150
Balrog,MK Screw Smash,-10,"f,d,df+MK",False,False,False,special,1025,1050,900,600,17,24,0.048,0.03,0.35,0.85,100,150
Balrog,HK Screw Smash,-10,"f,d,df+HK",False,False,False,special,1025,1050,900,600,17,24,0.048,0.03,0.35,0.85,100,150
Balrog,EX Screw Smash,-17,"f,d,df+KK",False,False,False,special,1025,1050,900,600,17,24,0.048,0.03,0.35,0.85,160,200
Balrog,TAP lvl 1,-2,Hold & Release PP/KK lvl1,False,False,False,special,1025,1050,900,600,17,24,0.048,0.03,0.35,0.85,100,150
Balrog,TAP lvl 2,-2,Hold & Release PP/KK lvl2,False,False,False,special,1025,1050,900,600,17,24,0.048,0.03,0.35,0.85,120,150
Balrog,TAP lvl 3,-2,Hold & Release PP/KK lvl3,False,False,False,special,1025,1050,900,600,17,24,0.048,0.03,0.35,0.85,140,150
Balrog,TAP lvl 4,-2,Hold & Release PP/KK lvl4,False,False,False,special,1025,1050,900,600,17,24,0.048,0.03,0.35,0.85,160,200
Balrog,TAP lvl 5,-2,Hold & Release PP/KK lvl5,False,False,False,special,1025,1050,900,600,17,24,0.048,0.03,0.35,0.85,180,200
Balrog,TAP lvl 6,-2,Hold & Release PP/KK lvl6,False,False,False,special,1025,1050,900,600,17,24,0.048,0.03,0.35,0.85,200,200
Balrog,TAP lvl 7,-2,Hold & Release PP/KK lvl7,False,False,False,special,1025,1050,900,600,17,24,0.048,0.03,0.35,0.85,230,300
Balrog,TAP lvl 8,-2,Hold & Release PP/KK lvl8,False,False,False,special,1025,1050,900,600,17,24,0.048,0.03,0.35,0.85,260,300
Balrog,TAP lvl 9,-2,Hold & Release PP/KK lvl9,False,False,False,special,1025,1050,900,600,17,24,0.048,0.03,0.35,0.85,290,300
